author,date,score,review
costcoshopper,2 years ago,5,"This extra virgin olive oil consistently tastes great, it’s consistently priced and the bottle is perfectly sized, in that it’s large enough that one isn’t constantly needing to replace it, and also not needing to decant it or try to cook while wielding a gallon size jug. It’s wonderful that it’s also conveniently available by mail. Will definitely purchase again. "
Redd,6 years ago,5,While this oil may not rank in flavor with some of the best oils that come from Sicily those oils be well over $100 for a liter. For being extra virgin and the first cold pressing this oil is a bargain for everyday use. It has a very pleasant flavor and is not bitter. I actually love this oil better than many more expensive oils I have tried. 
Anonymous,4 years ago,5,"We trust Costco’s quality, so we tried the Kirkland organic virgin olive oil and loved it. It is such a wonderful additive if you put it on vegetables, poultry, meat or anything else and gives it such an awesome taste and looks appealing also because it makes your dish look fresh without looking oily.  Thanks for another great product! "
Eliza H,4 years ago,5,"Because I go through lots of olive oil, I'm grateful to have access to this bargain-priced oil.  Though it doesn't have the peppery or grassy flavor of fancy olive oils, it's plenty good enough for cooking and is adequate for salad dressings, etc.  For dipping bread, obviously you'd choose one with a more distinctive flavor. "
DeniD,2 years ago,5,"I almost exclusively use olive oil for cooking, and I have found this Kirkland brand to be an excellent choice. It has a lovely, deep olive flavor and a little burn at the end, just like it's supposed to do. I used to pay four times as much for another brand, but I can discern no difference in quality between the two. "
Nancy,4 years ago,5,"Excellent oil and a great price. The experts claim that much of the olive oil sold in the USA is either adulterated or has no olive oil in it at all. It's really a big issue. I trust Kirkland's olive oil to actually be EVOO. I use it for everything. Some pasta, a little salt and pepper and this oil are all you need. "
Sally,3 years ago,5,"This is an excellent olive oil for daily use, for cooking, marinades, salad dressings. I reserve one special bottle of olive oil for dishes where a top-up of flavor is warranted, or, for special salads. The Costco oil is perfect for all my other daily cooking and seasoning needs. Great product at a fair price. "
NMTom,4 years ago,5,"Nice taste in salad dressing and other non-heated uses.  Because of the low heat point of extra virgin olive oil, I switch to other olive oils or avocado oil for cooking, regardless of what is said in the recipe.  Good shelf life.  My previous purchase was a year ago and the taste is the same as my new bottle. "
JcLez,3 years ago,5,"I consume this olive oil in all my meals. and my focus is on nutrition. For instance, per my Carb Manager App. one tablespoon serving of this oil contains about zero net carbs, about 14 grams of unsaturated fat, zero cholesterol and a great total of 118 calories (it also has about 2.0 grams of Saturated fat). "
BattleBots,5 years ago,5,"I love this olive oil, it's one of the best I've ever had.  Unlike many of the oils sold in stores claiming to be extra virgin, this Kirkland olive oil meets all the requirements.  It's imported from Italy and I love the flavor.  And it comes in a 2-L bottle at a reasonable price.  What are you waiting for? "
Papa,4 years ago,5,"In the old country, as a young boy, I helped my grandfather harvest his olive trees, then take the olives tug o the grindstone to grind the olives. Kirkland Organic Extra Virgin Olive Oil, has the closest fresh olive oil taste of fresh ground olives of my grandfathers orchard. Keep up the good work, Costco. "
zevsmom,4 years ago,5,"We use KIRKLAND ORGANIC Virgin Olive Oil daily and have for years. I trust Costco brands to use reliable sources, which relieves me of concerns that I have had with other virgin olive oils which might be mixed with lesser quality oils. We mix OVOO with crushed garlic and use it happily in cooking. "
Tatiana,3 years ago,1,"I’m sure this product would have been great, but it arrived only with some white plumbers tape wrapped around the cap(it looked like). There was no safety seal on the internal cap, it was just open. Not usable. Sad, now still need olive oil. Not sure whether it’s safe to order this again online "
Antonina Wiser,4 years ago,5,"I bought this product after reading reviews on the best real olive oil, to my surprise Kirkland was listed with the top five 100% pure virgins olive oils.  I told the manager of my store and said, they should put this on the end isles showing the worst and best olive oil. Thank you Kirkland "
Taka,2 years ago,4,"Good oil, one star deduction was due to flaw of pull-top design. The plastic pull-top rings were easily broken. So I had to use plyer to grab the rings and pull it hard. Without a tool, it is impossible to open it by fingers.  This happened before and the pull-top design should be improved. "
JonV,4 years ago,5,Good quality EVOO for the price.  It is organic as well.  The packing for shipping was a little suspect when it came in where the top of the bottle was pushed in.  Popped it back out. There was extra seal tape on it as well so limited leakage issues.  Save a trip to Costco for one item. 
ART US ARTIST,3 years ago,5,"Kirkland Signature Organic Extra Virgin Olive Oil, 2 L: Essential ingredient, delicious, nutritious, natural vitamins in every meal. Kirkland Signature Organic Extra Virgin Olive Oil, 2 L, is indispensable, and we enjoy it, every day for a very happy healthy life for the entire family. "
Anonymous,4 years ago,3,"I'm not sure if Costco had to change suppliers during Covid, but it seems that this is different olive oil than they used to sell.  The taste is very, very strong, almost rancid.  I'm using it as body oil now because the taste just seems off to me.  That said, my skin is very smooth. "
SFjohn,4 years ago,1,I was hoping to buy Bell’.Olio Extra Light Tasting Olive Oil which was available at our local Costco. It wasn’t available online so we bought this. If you are looking for an extra dark oil with a super heavy OLIVE taste you will like this. We found it revolting and gave it away... 
eastend,2 years ago,5,"Over the past two decades, I’ve lived in Italy for near three years total, and I miss the wonderful produce and groceries easily available there. Is the Kirkland EVO the BEST oil ever? No. But for the price, it is exceptional. I happily use it extensively in cooking and salads. "
JNDC,4 years ago,5,"Excellent EVOO. I used to use Fillipo Berrio (sp?) but this is richer and fuller in flavor, and it's organic. I have started to buy it in this smaller size (2L) to ensure it staying fresh and stable. Have never been disappointed in a Kirkland product and this is no exception. "
masheeran,2 years ago,5,"Exceptional  product and price. I've been using this olive oil for a year and 1/2 for cooking, salad dressings...everything. Thanks Costco!!!ps.  I live 3 hours from the nearest Costco so I appreciate having the ability to order itemss and have them shipped to my home!!! "
Mary,2 years ago,5,"I'm not an olive oil lover but have read good things about the health benefits and the quality of this brand.  I've been pleasantly surprised I've been able to add it into my food preparation and be okay with the taste, which is to say it is not too pungent or over whelming. "
Maggie T,3 years ago,5,We want to use good quality cooking oil because it is consumed almost every day. This is the one our family consistently buy. It is organic and extra virgin. The dark-color bottle keeps the oil from oxidation. The amount is not too large so that we can always use fresh oil. 
Ruth,3 years ago,5,"Great every day olive oil, good for cooking or salads....I'm a health but and go through a lot of olive oil.  I try to keep my super good stuff for salads... but honestly this stuff is so good no one can tell the difference.   It's great value and easy to use bottle. "
Kelly Koz,4 years ago,5,"I’ve been buying this for years in store. Recently ordering online. Has nothing to do with quality of product, but Costco could package better when shipping, to avoid receiving with top squished. Otherwise, a great product at great price I will continue purchasing. "
Mark,3 years ago,5,"I HAVE USED THIS PRODUCT FOR YEARS. EXCELLENT QUALITY AND A GREAT VALUE.  IT IS LIGHT, CLEAR, SAVORY, BUT NOT OVER WHELMING.  I USE IT FOR SALADS. GREEN SALADS, VEGETABLE SALADS, CHICKEN SALAD, TUNA SALAD, AND EVEN FRESH BAKED BREAD INSTEAD OF BUTTER OR MARGARINE. "
mtngrrl,5 years ago,3,"This is a reliably good, work-horse olive oil perfect for sauteing, grilling and roasting. It has a fairly neutral flavor so would be appealing to those who do not like the grassy, more pungent, flavors of higher-end, finishing olive oils. I use it every day. "
ARO1,3 years ago,5,"We've been using this olive oil for years. It has good flavor and is great for cooking all kinds of things, from scrambling eggs for breakfast to cooking meats and oven-roasting vegetables for dinner. It's very affordably priced and we love that it's organic! "
Liz D,3 years ago,4,"We use this olive oil for cooking, salad dressings and anything that requires olive oil. It cooks well and doesn't add any unpleasant taste to the food. Having this large quantity bottle is very convenient. I just wish it came with a small pourer at the top. "
Lilly9,2 years ago,4,This olive oil has good flavor.  I'm picky about olive oils and this one fits my requirements.  I would only ask that the bottle not pour out so fast.  I'll have to buy an olive oil canister that pours slower and transfer it over.  Don't want to waste any. 
AMF921,2 years ago,5,I've been using the Kirkland brand of Extra Virgin Olive Oil for several years now and  like it. I tried it on a whim to try and save some money and found it was just as good as the pricier Extra Virgin Olive Oil. I will continue to use it in my kitchen. 
Lucy,3 years ago,5,I am very pleased with Kirkland's Signature Organic Extra Virgin Olive Oil.  It is both delicious and affordable and one that I do not want to do without.  I use it for practically all of my cooking.  This oil adds flavor to all of my meals and salads. 
Jonathan H,3 years ago,5,"Great, and inexpensive.  If you do research on authentic extra virgin olive oil (as there is quite a bit of fraud) you will find this one listed as genuine by many outlets.  EVOO has a shelf life and goes rancid.  Lesser oils have a harsher flavor. "
Sharon,2 years ago,5,Best olive oil I’ve found on the market today! And I saw a UTube video of a man that tests Olive and avocado oils and he said Costcos is ALWAYS 100% what they say is in it! When you buy other brands it’s mixed with lower quality vegetable oils! 
Irishayes,4 years ago,5,"Only Kirkland could produce such a great olive oil and package it in a family sized bottle for so little.  This olive oil is perfect for everyday cooking, the fact that it is organic and cheaper than the non organic Kirkland variety is a bonus! "
AZ Mountain,2 years ago,5,"Slice a Bagett, dip one side in Kirkland olive oil, put in oven low broil on baking sheet for 5 minutes oil side up, remove and top with small slice mozzarella cheese and slice of Roma tomato. One way we use our Kirkland Olive oil. Delicious "
Maureen,4 years ago,5,"First quality oil with a rich flavor but very peppery (if you don’t like black pepper flavor, you definitely won’t like this).Better than any other olive oils I’ve tasted. This will be in my pantry for as long as they continue to offer it. "
tuna consumer,4 years ago,5,This olive oil has a good taste and is not heavy on the tongue.  Also the source of the olives (Italy) is reliable; it's not a mash up from questionable sources.  The general packaging is very nice also - protectively dark and good pouring. 
Thanson,3 years ago,5,"Really like this olive oil. Great taste and stores well. Since it’s so large, I keep it in the  pantry and keep a smaller bottle in the kitchen since  we use everyday. The only thing I would suggest is use a glass bottle instead of plastic "
Moni100,3 years ago,5,"I love this organic extra virgin olive oil!  I use is for most everything from frying to adding to recipes in place of butter and for mixing salad dressings and marinating meat, poultry and fish and adding spices.  It has never failed me. "
Beogradska,4 years ago,3,"You should know the container is plastic. Glass is so much better as an oil vessel - even aluminum (or ceramic) would be better. I find myself using a funnel to transfer to a different container. Maybe not everyone feel this way, though. "
Maik,4 years ago,4,"There are olive oils I rate a 5 but this is not one of them.  I bought it because it is available online during the shelter-in-place period. I usually don't use oils in plastic bottles.  It is adequate, though, and the quality is okay. "
Boone,4 years ago,5,It's Organic there is a lot and it's a good price. I use it in many recipes and on my 2nd one now. Only issue I have is the top You cant put a small pour spout in because of the tops size. Perhaps you can get a different size spout. 
klixtokw,3 years ago,4,Its OK for cooking & other uses but does not seem to be high quality and may be mixed with other oils or lower quality olive oil. This can be appreciated from the taste compared to a GUARANTEED high quality oil. The price is right. 
Kimberly,2 years ago,5,"I use Kirkland Signature Organic Extra Virgin Olive Oil with all of the meats that I cook - chicken, turkey, pork and beef. Along with spices and vegetables, it adds a wonderful smooth taste to the meats and helps in tenderizing. "
Disgusted1,4 years ago,5,HOW ABOUT YOU SEND ME THE BRITA PITCHER THAT WAS BACK-ORDERED FOR MARCH 30TH AND WHICH YOU NEVER SENT.  YOU ALSO NEVER SENT A NOTICE.   I'VE BEEN A MEMBER SINCE 1994 AND YOUR A GREAT BOX STORE BUT YOU ARE AWFUL ONLINE WEBSITE. 
LarryVA,4 years ago,5,We've used them for years and always excellent; consistently excellent. Reviewed by consumer magazines and excellent results. The price is excellent. No negatives come to mind. We decant into an olive oil dispenser for easy use. 
3Mountains,2 years ago,5,"Good taste, recommended by someone I trust as being actual 100% extra virgin olive oil. Apparently there are a lot of ""fake"" extra virgin olive oils that are corrupted with other oils. Nice to know Costco sells good stuff. "
Allison Gilmor,3 years ago,5,Such a great olive oil. It’s a quality made oil with that distinct extra virgin olive oil smell. It not only cooks well but also adds great flavor to breads and salads. Half the price of most stores but better quality. 
Cindy,5 years ago,5,This is the only olive oil we have bought for several years.  We are confident that it is from California and is not the adulterated oil from Europe.   We are very pleased with this oil and recommend it to everyone. 
LMMX,2 years ago,5,This oil is so good.  It has that peppery bite that I love from a good olive oil. The price is remarkable and I just decanted it into another dispenser and put this away out of the light. I will not buy another oil. 
eric,3 years ago,5,Our favorite olive oil on the market.  When we buy this product it is with the confidence that we are getting organic olive oil (there are many fake olive oils being sold).  We love the taste and it is a good value. 
CedarTree,3 years ago,5,"This olive oil works equally well for sautéing or dressings & marinades. Light, mildly fruity taste, clear & unclouded color, light aroma. An excellent price per ounce compared to smaller bottles in grocery stores. "
Mel B,4 years ago,4,"Reliable quality at an affordable price.Of course single origin olive oil with date of pressing is an entirely different product.  But for your general needs (sautéing, dressings, etc) this is really very good. "
Judith,4 years ago,5,"This is a great olive oil. Fresh, spicy, and a lovely taste. However, unless you use a lot of it, best to decant half into a dark glass jar, since plastic jars do allow a small amount of air to enter over time. "
Lily,4 years ago,5,"I bake a lot and use olive for baking quick breads, cakes and muffins.  This oil is a wonderful substitute for other oils and butter.  Many times I use this oil and applesauce to replace the fat in the recipe. "
Doggy lover,3 years ago,5,Used for cooking and for salads with balsamic vinegar. Excellent in both uses. Is better than many olive oils including pricier one.  A good price point. Use it exclusively if it is available for purchase. 
LM16,4 years ago,5,I purchased this olive oil because I did research online and found that it is one of the few olive oils sold in the U.S. that actually meets the standard for extra-virgin olive oil. It is also affordable. 
HiPinkie,3 years ago,5,"I was raised in the Mediterranean and use a lot of olive oil for both salads and cooking. This is a great olive oil, balanced, slightly peppery and simply great for salads, pasta, and cooking veggies. "
Olivine,5 years ago,5,Organic superior quality and not too strong flavor. Good for health option for oil. No thanks to the GMO conventional oils with neurotoxin and carcinogen residues. Go organic for healthier lifestyle. 
Paula,3 years ago,5,"Best ""GO TO"" olive oil out there other than California Kitchen. I keep two 16 oz squeeze bottles filled; one with the EVOO and one with veggie oil; next to the stove, ready for whatever I'm cooking. "
Coffee lover,3 years ago,5,"Kirkland olive oil is better than any brand (even organic) I've purchased at any grocery store, and I use it so often I like the the large bottle. The price is extremely reasonable for such quality. "
Mlee,4 years ago,3,This olive oil is great but Costco shipping procedures are not. This was shipped to me and received with the spout/neck crushed in and various other damaged products in the box due to poor packing. 
YookHa,4 years ago,3,This EVOO has been highly rated and verified to be REAL (not fake).  I gave it three stars because it doesn't seem to have the various stamps of being authentic yet it has been judged as authentic. 
Mimi,2 years ago,5,"We use lots of olive oil for cooking, salads, skin and hair care. I switched from expensive brand name olive oils to Costco Kirkland Olive Oil years ago. It’s one of my favorite Kirkland products. "
luvdvm,4 years ago,5,We use a lot of extra virgin olive oil in our cooking so buying this large container is just right for our family.  It compares to other more expensive olive oils we've used so it's a great value. 
VegMom,3 years ago,5,We have used this for years for everything from salads to roasting/sautéing vegetables to frying eggs and every basic food prep in between. Cannot beat the price and value for this quality item. 
Mary,3 years ago,5,"We don't even think about trying any other olive oil. It's been years; my husband is an EVOO addict (just pour it on, don't bother to drizzle), and this satisfies both the mouth and the wallet. "
miracle,3 years ago,5,"I've used this for at least 5 years, and it's a great olive oil.  Very clean and good quality, not to mention a great price.  It's neutral enough to use for cooking as well as salad dressing. "
Steven,2 years ago,5,I brought these Kirkland olive oil due to tests done and for health reasons.  These are the kind of oils that you want to put into your body: oil that is natural and not chemically expelled. 
RobF,6 years ago,5,The Kirkland EVOO is a great buy. Not only does it taste great but when it’s used for cooking it performs like a very expensive Olive Oil.  I will continue to buy and use the Kirkland brand. 
mkchampe,6 years ago,5,I use olive oil everyday and am so thrilled to have found this by Kirkland Signature.  I know I can depend on it’s quality.  It has a great taste!  And I truly appreciate its affordability. 
ByteMee,2 years ago,5,"Way healthier than butter.  Way cheaper than any snack.  Our house pops 50 pounds a year.  Yes, a year.   We spend $125 annually or 25 bags of chips that are gonna kill you much faster. "
IT Guy,2 years ago,5,"Apparently a lot of oil labeled olive oil has other lesser oils mixed in and that isn't on the label, but this one was tested and found to be 100% olive oil.  And it tastes good as well. "
danthefrozenroseman,3 years ago,5,"A versatile EVO at a price point that allows a wide range of uses...great taste, balanced acidity, nice but not overpowering floral notes- it's my go-to oil for cooking and general use! "
The Spare Bear,6 years ago,5,"This typically has a pronounced flavor.  For those individuals who do not care for a stronger flavored olive oil, this might not be the best for you.  We love the rich buttery flavor. "
D Spencer,4 years ago,5,"We go through quite a bit of olive oil - we keep a beautiful glass bottle with an easy-pour top near the stove. This size gives us several refills, it's delicious and a great value! "
MNGritter,3 years ago,5,"Consistently, cheaper than other EVOO offerings, this olive oil is my go to for our family of 8.  I also like the subtle flavor difference compared to the EVOO's sourced from Italy. "
VashonV,3 years ago,5,"I trust the Kirkland Signature, and it is always my first choice in shopping. I know that this organic extra virgin olive oil is indeed ORGANIC EXTRA VIRGIN OLIVE OIL at its finest. "
California Chris,5 years ago,5,"We use it on everything we cook in place of butter, lard, or cooking oil.  Organic  EVOO provides an enhanced flavor in every meal  and is a burst of flavor that I crave and savor. "
Anonymous,4 years ago,5,"the very best Virgin Olive Oil. I had hoped to receive the lighter oil in the basic 2gal. for  $ 20 something. This is not the virgin olive oil, but its good on salads and cooking. "
Linda,4 years ago,5,I was hesitant about trying this since I'm very particular when it comes to Olive Oil. Well...I was amazed on how delicious this olive oil is! and it's organic! Highly recommend! 
Jeff N,4 years ago,4,"You can buy better olive oil, but you can't touch this price. Good option for everyday cooking. Save your high-priced stuff for dipping bread and drizzling on specialty dishes. "
lunamama,3 years ago,5,"Excellent quality. Excellent value. This is real olive oil, which can be difficult to find in stores. A lot of olive oil is diluted with other, less quality oils. Not this one! "
William,4 years ago,3,Having bought this product many times in the past did not realize that  in this occasion it is not of Italian provenance but of a variety of countries.Hope it tastes the same. 
Steve,3 years ago,5,"Good quality, good price! Manageable sized container. We regularly get this Costco product (we find most Costco products are excellent - which is why we keep shopping there). "
Duane,4 years ago,5,There are a lot of fake olive oils on the market.  This one solidifies when it is in the refrigerator which is one of the signs of olive oil.  Taste is good for all purpose. 
Shopper,2 years ago,5,The oil is good but I’ve not had a  good experience with Costco.com and their shipping. Twice the box was opened or torn apart when it arrived or I didn’t get all my items. 
Dave,3 years ago,5,"Superb quality, taste and price. The only cooking oil in the house, from roasting vegetables, cooking fish and chicken to baking (e.g., bread, zucchini bread, carrot cake). "
Kaye,4 years ago,5,Good flavor that holds up to dipping a good focaccia in it ... the flavor is a great compliment to all uses ... my favorite EVOO - worth their pric  Ed of membership alone 
Ajantala,4 years ago,5,"I have used Kirkland Organic  Extra Virgin Olive Oil for years, in salad and main dishes and to add to some relishes.    It has a good taste and texture in your mouth. "
Biggs,3 years ago,4,"Quality at a value.  This OEVOO is good for cooking and seasoning, perfectly serviceable for most applications.  I don't consider this a gourmet item but everyday use. "
marybajcz,3 years ago,5,We use this as our all purpose oil.   It has a very light olive scent; you might like a more flavorful oil for certain applications where a distinct flavor is desired. 
design goddess,3 years ago,5,This olive oil is consistently fresh tasting  with a delicious  mild olive scent.. Have been using it for years.  Please keep carrying it !!! Also a very good bargain 
ProfessorPJ,4 years ago,5,The smell of this olive oil is like it was freshly pressed!  The taste is like fresh olives which enhances the meat or vegetables cooked in it.  Absolutely wonderful! 
Rob B,4 years ago,5,"This is good stuff and it comes in a size that supports my copious consumption. I have found no alternatives, for no lack of trying. The quality and price are right! "
Anonymous,4 years ago,5,"This is our favorite go to Olive Oil.  We use it in all recipes calling for any type of oil.  The flavor is amazing for dipping bread in.  Great quality, and flavor. "
Aggi,2 years ago,5,"I purchase 'specialty' olive oils to have for certain recipes/food preparation, but I always keep a bottle of the Kirkland Organic EVOO in my pantry for general use. "
Masooma,3 years ago,4,The top should be made more reliable as you the cannot secure it completely and the oil spilled as it fell straight for a second .other wise  the product is fine. 
PeterGS,4 years ago,5,"Excellent product ... it’s a blend of the best Mediterranean olives, fruity and deep dark color. I will only buy this or pure Kalamata first cold press olive oil. "
Renee,3 years ago,4,"For the price this is a 5 rating, but for being top quality I've given it a 4. I use this oil in my daily cooking Nd move to a 5 star olive oil when entertaining. "
Dan from Oregon,4 years ago,5,I use this for everything except deep frying. Mild olive flavor and never bitter. I don't like bitter olive oil and this is perfect. Been using it for many years. 
Phil,5 years ago,4,"This product was originally 100% Italian olive oil, now it is sourced in multiple countries, and is not as good. Still good, but not excellent as it formerly was. "
leeanninin,5 years ago,5,"Having read a recent article rating olive  oils for purity and getting what you pay for,  I am delighted to see that Kirkland oil can be trusted and is top rated. "
Catt,4 years ago,5,"I use a lot of olive oil, so I like the size and the quality is good too.  I just hope that your company refuse to do business with vendors that use prison labor. "
One fish two fish,4 years ago,4,This is our go to for olive oil. It was my first time to order it with two day delivery and the neck of the bottle is crushed. Not sure if that's typical or not. 
Dad of Twins,3 years ago,5,We love the flavor and texture of this oil. We have not been disappointed since doing comparisons as suggested in Epicurious regarding the cost/quality analysis. 
M A Perkins,3 years ago,5,"Great organic olive oil for price. I use it for salad dressings, sautéing onions and garlic for pasta sauces. I also use it for pizza dough. Highly recommend it. "
Mr H,4 years ago,5,"My go to EVOO for cooking and flavoring.  I never use any type of vegetable oil due to GMO's concerns, and they are made from grains.  This oil is KETO friendly. "
Farm Manager,2 years ago,5,I love this olive oil. I use it for everything from dipping to baking to sautéing.  I wish it were offered in two smaller bottles rather than a single giant one. 
Suzi,3 years ago,5,This olive oil is a great but especially for organic olive oil. It does not have an overwhelming flavor so is great in salad dressing and also for cooking with. 
Darlan,4 years ago,5,"I cap with a measured spout and use for almost everything.  Spout allows for very small pours so no need to decant.  Tasts great, healthy, and a bargain price. "
DesertDiva55,4 years ago,5,I use these large bottles of olive oil to refill a smaller on i keep by my stove. The large bottle is stored in the refrigerator. Highly rated real olive oil. 
Wisconsin fan,3 years ago,5,This is excellent quality olive oil! We have been using it for many years and it’s one of the best and purest available. Only wish it came bottled in glass. 
LizAnne,3 years ago,5,Very good quality organic extra virgin olive oil. Kirkland always delivers good quality products. Use this olive oil every day. Adds good flavor to recipes. 
Pshannon30,3 years ago,5,"I use this oil for everything: salads, cooking at lower temperatures, etc. I think it has great flavor. And the price can’t be beat. Wouldn’t be without it. "
Lynniepoo,5 years ago,5,It is known to be one of the best and purest olive oils you can buy! There are a lot of fake oils out there that add non pure ingredients to their olive oil 
buyer,3 years ago,5,great product. the top was leaking a bit from shipping but the packing team placed it inside a heavy duty bag by itself so it didn't ruin the other items. 
Maria,4 years ago,4,"The only slight negative is the bottle has a large opening without a pour spout, and the bottle is large and heavy, making Controlled pouring challenging. "
OhWhataname,4 years ago,5,"Widely acclaimed by independent reviewer as pure and true olive oil, not adulterated in contrast with many other brands in ""good"" stores.  Stay with this. "
John,3 years ago,5,My wife is from a Mediterranean country where olive oil is almost a religion. She loves this stuff. So do I. Consistently excellent and always economical. 
LT Salem,4 years ago,5,We've been buying this olive oil for quite some time and think it's simply the best quality and best value out there.  We're very glad Costco carries it. 
Sandy,4 years ago,5,"I have been using this for years.  It is perfectly delicious for salad dressings, marinades, roasting veggies, etc.  It is my ""go to"" oil for everything. "
Addies Mom,2 years ago,5,Excellent product tastes wonderful great value. I buy this as often as possible sometimes it’s not avail patience pays off Costco finds away to restock. 
Prashanth,3 years ago,5,"Tastes like good olive oil. Slightly spicy flavor which I like. With so many fake extra virgine olive oils in the market,  I am glad I found this one. "
JimmyR,5 years ago,5,"After trying this olive oil, I'm now a loyal customer.  It's a great product and a much better value than the brand name I was previously purchasing. "
Mike,4 years ago,5,Not only is this product great when using it in salads and vegetables (in lieu of butter) but it also gives a good flavor when using it for cooking. 
Klll,2 years ago,5,This is really good olive oil. It is one of those necessary items that just has to be in your kitchen. This one is never disappointing. Great price. 
Finfan,2 years ago,5,"Been buying this for years. Great everydayEVOO. Backed by leading consumer group as authentic also. You can buy better, but not in this price range. "
GoBlue5891,3 years ago,5,Love this olive Oil.  So comforted by the fact I can trust it's genuine through Costco's testing services.  Great pricing and it's used frequently. 
Timber,6 years ago,5,I picked this because of reviews I have read about some olive oils being fake. This one was recommended as one that is authentic and it taste good. 
Anonymous,4 years ago,5,online shopping is a game changer! Everything sealed and packaged perfectly. So nice not to have to drive thw 100 miles we are from a Costco store. 
Gail,3 years ago,5,We use this olive oil all the time. It’s tasty and healthy. I would like you to let me buy 6 at a time instead of one at a time. That is annoying! 
Maes,2 years ago,4,I don’t understand why you charged $3.00 shipping and we only received the oil in two days. Other two items were delivered five-seven days later. 
